"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"255","Charles Bassey","C","22","SAS","35","2","14.5","2.5","3.9","0.644","0.1","0.2","0.375","2.4","3.6","0.661","0.656","0.6","1.1","0.595","2.1","3.4","5.5","1.3","0.5","0.9","1.2","2.1","5.7"
"256","Keita Bates-Diop","SF","27","SAS","67","42","21.7","3.5","6.9","0.508","0.8","2.1","0.394","2.7","4.8","0.557","0.568","1.8","2.2","0.793","1","2.7","3.7","1.5","0.7","0.3","0.8","0.9","9.7"
"257","Nicolas Batum","PF","34","LAC","78","19","21.9","2.1","4.9","0.42","1.6","4.1","0.391","0.5","0.8","0.563","0.583","0.4","0.6","0.708","0.8","3","3.8","1.6","0.7","0.6","0.6","1.9","6.1"
"258","Darius Bazley","PF","22","TOT","43","1","14.3","1.9","4.3","0.454","0.5","1.2","0.377","1.5","3","0.485","0.508","0.9","1.6","0.543","0.8","2.4","3.2","0.9","0.5","0.8","0.6","1","5.2"
"259","Darius Bazley","PF","22","OKC","36","1","15.4","2","4.4","0.449","0.5","1.3","0.4","1.5","3.1","0.469","0.506","1","1.8","0.554","0.8","2.6","3.4","0.9","0.5","0.8","0.6","1","5.4"
"260","Darius Bazley","PF","22","PHO","7","0","8.7","1.7","3.6","0.48","0.3","1.1","0.25","1.4","2.4","0.588","0.52","0.3","0.7","0.4","0.7","1.6","2.3","0.9","0.4","0.7","0.7","1.3","4"
"261","Bradley Beal","SG","29","WAS","50","50","33.5","8.9","17.6","0.506","1.6","4.4","0.365","7.3","13.2","0.552","0.551","3.8","4.6","0.842","0.8","3.1","3.9","5.4","0.9","0.7","2.9","2.1","23.2"
"262","Malik Beasley","SG","26","TOT","81","27","25.8","4.6","11.6","0.395","2.9","8.1","0.357","1.7","3.4","0.484","0.52","0.6","0.8","0.769","0.4","3.1","3.5","1.5","0.8","0.1","1.1","1.3","12.7"
"263","Malik Beasley","SG","26","UTA","55","13","26.8","4.8","12.2","0.396","3.1","8.6","0.359","1.7","3.6","0.485","0.522","0.7","0.8","0.841","0.5","3.1","3.6","1.7","0.8","0.1","1.1","1.4","13.4"
"264","Malik Beasley","SG","26","LAL","26","14","23.9","4","10.3","0.392","2.5","7.2","0.353","1.5","3.1","0.481","0.515","0.5","0.8","0.619","0.3","3","3.3","1.2","0.8","0","1.2","1.2","11.1"
"265","MarJon Beauchamp","SF","22","MIL","52","11","13.5","1.8","4.7","0.395","0.9","2.7","0.331","0.9","1.9","0.485","0.492","0.5","0.7","0.73","0.7","1.5","2.2","0.7","0.4","0.1","0.9","1.4","5.1"
"266","D?vis Bert?ns","PF","30","DAL","45","1","10.9","1.5","3.6","0.431","1.2","3.1","0.39","0.3","0.4","0.737","0.603","0.3","0.3","0.867","0.2","1","1.2","0.5","0.2","0.2","0.2","1.2","4.6"
"267","Patrick Beverley","PG","34","TOT","67","67","27.1","2.1","5.4","0.4","1.2","3.6","0.335","1","1.8","0.529","0.511","0.7","1","0.723","0.7","3","3.7","2.9","0.9","0.6","0.9","2.8","6.2"
"268","Patrick Beverley","PG","34","LAL","45","45","26.9","2.2","5.4","0.402","1.2","3.5","0.348","0.9","1.8","0.506","0.517","0.9","1.1","0.78","0.5","2.6","3.1","2.6","0.9","0.6","0.9","2.8","6.4"
"269","Patrick Beverley","PG","34","CHI","22","22","27.5","2.1","5.4","0.395","1.1","3.7","0.309","1","1.7","0.579","0.5","0.4","0.7","0.533","0.9","4","4.9","3.5","1","0.7","0.8","2.9","5.8"
"270","Saddiq Bey","SF","23","TOT","77","37","27.6","4.6","10.9","0.422","2","5.4","0.361","2.6","5.4","0.483","0.513","2.7","3.1","0.861","1.3","3.4","4.7","1.5","0.9","0.2","0.9","1.6","13.8"
"271","Saddiq Bey","SF","23","DET","52","30","28.8","4.7","11.7","0.404","1.9","5.6","0.345","2.8","6","0.46","0.488","3.5","4","0.861","1.1","3.5","4.7","1.6","1","0.2","1","1.7","14.8"
